obesity_pct,inactivity_pct
39.30000000000001,27.8
37.30000000000001,26.4
32.6,23.2
46.4,35.7
38.4,31.6
32.7,28.5
48.3,39.6
45.4,32.30000000000001
37.4,28.1
41.2,32.2
41.3,28.6
37.5,30.8
41.4,30.7
40.6,32
38.6,30.8
38.30000000000001,28.7
43.6,30.2
37,29.1
42.8,35
41.5,30
44.8,28.2
40.4,30.7
38,28.9
39.2,29.4
47.5,34.6
42.1,31.6
37.1,24.9
43.6,33.6
41.1,29.3
39.4,31.6
38.4,31.9
38,31.9
49.1,40.7
47.3,36.1
42.1,29.2
39.1,32
40.1,28.6
38.9,24.8
39.2,28.7
39.4,26.3
38.6,29.7
36.80000000000001,24.7
34.9,26.3
48.8,37.4
47.3,35.30000000000001
35.30000000000001,22.5
43.5,31.8
37.9,29.6
39.7,29.9
39.4,27.8
43.9,32.1
49,31
40.1,28
50.9,41.2
42.3,33.5
38.7,29.9
42.8,29.7
41.9,32.9
38.30000000000001,26.2
33.1,20.7
47.7,36.1
41.9,31.9
40.30000000000001,30.6
41.6,29
36.4,29.8
42.7,29.7
51.3,38.5
40.1,31.5
31.8,21.1
29.3,27.6
29.5,25.6
28.5,19.5
37.5,34.4
36.1,21.3
30.8,19.6
38.80000000000001,28.8
31.2,21
31.3,21
35.80000000000001,23.3
27.2,17.5
31.8,22.7
34.1,21.1
30,22.1
43,40.4
36.80000000000001,25.6
34,22.6
34.7,29.6
37.7,27
41.9,31.9
31.3,21.1
34.2,25.8
31.2,18.5
30.7,20.1
32.7,21
33.1,22.1
34.1,24
36.80000000000001,28.1
31.5,21.6
36.1,26.5
31,23.8
27.9,18.9
32.30000000000001,26.7
33.2,25
32.6,24.1
35.80000000000001,29.7
30.6,21.5
35.7,28.7
34.4,27.1
29.3,22.7
37,25
34.80000000000001,28.7
27.8,21.2
40.5,29.4
37.2,28.8
38.2,33.1
39.6,35.80000000000001
33.4,27
29.5,24.2
37.4,28.5
42.8,33
37.30000000000001,30.2
35.2,28.6
47.5,38.5
39.30000000000001,29.8
39.1,30.6
36.7,28.7
37.30000000000001,32
40.30000000000001,32.5
38.6,30.6
40.30000000000001,28.5
35.9,30.6
46.6,34
40.5,33.30000000000001
40.2,33.6
45.1,38.1
42.8,34.6
36.2,26.8
36.2,32.6
38,31.8
30.9,28.2
36.7,26.6
39.7,28.7
41.7,34.5
36.30000000000001,31
41.7,33.6
36.6,29.2
37.6,30.1
39,33.7
44.2,33.7
40.2,33
41.3,36.30000000000001
38.30000000000001,29.7
45.1,38.5
39.7,34.7
36.80000000000001,29.6
40.6,31.3
36.6,28
35.2,31.9
36.5,29.5
39.80000000000001,30.5
42.5,34.7
42.1,37.30000000000001
36.9,30.4
41.7,32.4
33.9,27.7
40.4,36.4
37.1,28.7
47.9,38.1
36.2,29.7
41.4,33.5
36.1,30.9
41.7,29.8
36.7,29.7
36,27.4
35.9,31.2
47.1,37.7
38.6,27
37.4,32.7
39,34
36.30000000000001,29.2
40.5,34.30000000000001
40,30.6
36.80000000000001,33.2
43.4,30.6
37.9,30.7
35.80000000000001,26.7
38.1,30.1
39.7,34.5
38.30000000000001,33.5
30.2,21.1
24.3,17.9
29.5,17.8
30,18.6
30.5,20.7
29.7,19.4
34.4,26.4
28.1,18.8
32.9,24.1
28.2,16.9
34.6,27.6
33.6,25.7
31.1,20.5
36.2,31.7
29.7,19
35,28.1
35.1,27.6
32.1,23.4
31.8,22.5
28.8,21.6
35.9,27.2
23.3,14.1
31,19.3
31.4,21
38,28.9
32.4,22.1
29.6,18.5
31.7,24.9
26.9,18.8
28.2,16.2
23,20.5
28,14.9
30.2,18
34.7,21.6
30.7,21.2
31.8,22.8
39.1,25.6
28.4,20.3
19,16.9
29.6,24.2
27.9,17.9
21.1,16.9
30.1,21.3
20.5,18.5
27.5,19.1
31.1,19.6
30.4,18.6
31.6,21
30.1,21.1
25.2,18.5
33.1,26.1
29.9,24.1
34.30000000000001,23.5
32.80000000000001,21.9
36,29.1
28.6,18.4
28.9,20.5
30.6,20.3
34,23.8
24.2,16.5
30.2,22.7
31.4,25.1
24.8,18.3
23,17.8
27.9,22.2
32.5,26.6
17.6,12.9
21.7,13.9
23.4,17
25.4,18.5
21.9,14.5
30,24.8
29.9,28.4
29.6,26.2
23.4,16.3
25.6,22.6
21.5,15.5
23.9,16.8
19.5,11.5
21.3,15.9
25.4,15.1
27,18
29.1,20.7
22.6,18.4
21.9,14.3
22.4,16
22.8,14.7
24,16
25,20.9
25.1,18.2
23.9,13.9
27.7,20.4
27.4,21.9
26.3,18.5
23.4,16.3
23.9,13.6
29.1,23.3
30.6,22.7
27.8,22.4
28.2,19
23.3,14.4
26.6,21.7
26.2,20.3
26.8,21.1
33.7,25
31.9,25.9
22.8,13.7
24,16.5
27.5,21
20.7,12.6
32.1,24.4
29.6,24.4
25.9,19.4
28.1,23.5
20.4,14.2
26.8,23.7
26,18.6
23.1,14.7
28,21.2
20,14.3
24,16.8
28,19.8
32.2,20.8
27.5,21.8
29.5,20.2
23.5,17.1
31.8,21.3
29.4,18.1
28.4,15.7
33.30000000000001,21.8
31.3,17.4
28.2,17.9
33.6,22.6
36.2,23.6
39.1,27.6
33.7,22.9
37.1,25.4
24.2,17.2
24.2,17.2
28.3,25.8
31.9,24.5
38,29.4
31.1,27.2
38.30000000000001,32.5
33,23.7
30.6,26.9
37.1,31
30,25.6
31.6,27.1
35.2,25.2
27.2,24.9
34.30000000000001,29.9
41.6,38.30000000000001
38.5,32.1
34.6,27.8
35.4,25.3
32.6,23.3
